dtype_f,dtype_y,method,package,n_steps,sol_relerr,grad_x_relerr,grad_A_relerr
torch.bfloat16,torch.float32,euler,torchmpnode,128,0.0941775028310631,0.09840409457683563,0.05915778875350952
torch.bfloat16,torch.float32,euler,torchmpnode,256,0.04887684058988107,0.05240430682897568,0.02970222197473049
torch.bfloat16,torch.float32,euler,torchmpnode,512,0.024628222891596715,0.02813057228922844,0.015442968346178532
torch.bfloat16,torch.float32,euler,torchmpnode,1024,0.011829276321369497,0.016170626506209373,0.007846280932426453
torch.bfloat16,torch.float32,euler,torchmpnode,2048,0.006699737901608588,0.009642194025218487,0.004719020798802376
torch.bfloat16,torch.float32,euler,torchmpnode,4096,0.003055658557293866,0.006625669542700052,0.0031212824396789074
torch.bfloat16,torch.float32,euler,torchmpnode,8192,0.0022392736649084026,0.005033369176089764,0.0023260514717549086
torch.bfloat16,torch.float32,rk4,torchdiffeq,32,0.001968105293468209,0.0022999204229563475,0.037583936005830765
torch.bfloat16,torch.float32,rk4,torchdiffeq,64,0.0017107785557005492,0.0006016048137098551,0.16255269944667816
torch.bfloat16,torch.float32,rk4,torchdiffeq,128,0.001270275240546474,0.0005308359395712614,0.16397196054458618
torch.bfloat16,torch.float32,rk4,torchdiffeq,256,0.0008994326479349306,0.0008316037710756063,0.44854921102523804
torch.bfloat16,torch.float32,rk4,torchdiffeq,512,0.0004256569535202172,0.00022992985032033175,0.7222366333007812
torch.bfloat16,torch.float32,rk4,torchdiffeq,1024,0.0003103671699308444,0.0014198702992871404,0.8608541488647461
torch.bfloat16,torch.float32,rk4,torchdiffeq,2048,0.00013073506697106456,0.002200401620939374,0.9303757548332214
torch.bfloat16,torch.float32,rk4,torchdiffeq,4096,6.980078398220247e-05,0.0027599181048572063,0.9651764035224915
torch.bfloat16,torch.float32,rk4,torchdiffeq,8192,6.44438619615703e-05,0.0013301651924848557,0.9825855493545532
torch.bfloat16,torch.float32,rk4,torchmpnode,32,0.0021308988445957063,0.00017685316561255604,0.0014306990196928382
torch.bfloat16,torch.float32,rk4,torchmpnode,64,0.002306550429076663,0.004706063307821751,0.002007280709221959
torch.bfloat16,torch.float32,rk4,torchmpnode,128,0.0022163335222436685,0.00215838267467916,0.0018295355839654803
torch.bfloat16,torch.float32,rk4,torchmpnode,256,0.0022163335222436685,0.005696828011423349,0.0012910786317661405
torch.bfloat16,torch.float32,rk4,torchmpnode,512,0.0019132741484338307,0.0036445297300815582,0.0029609010089188814
torch.bfloat16,torch.float32,rk4,torchmpnode,1024,0.0022392736649084026,0.009624502621591091,0.003228433197364211
torch.bfloat16,torch.float32,rk4,torchmpnode,2048,0.0019132741484338307,0.008102970197796822,0.0021140349563211203
torch.bfloat16,torch.float32,rk4,torchmpnode,4096,0.0019128425710278746,0.006050672382116318,0.002123162616044283
torch.bfloat16,torch.float32,rk4,torchmpnode,8192,0.0019439704090843694,0.004537987057119608,0.001983828144147992
torch.float16,torch.float32,euler,torchdiffeq,32,0.35386576473090714,0.3540214002132416,0.23371918499469757
torch.float16,torch.float32,euler,torchdiffeq,64,0.18641404474388232,0.18619291484355927,0.11948457360267639
torch.float16,torch.float32,euler,torchdiffeq,128,0.09542380054095882,0.09543179720640182,0.06061801686882973
torch.float16,torch.float32,euler,torchdiffeq,256,0.04827133779451487,0.04833509400486946,0.044883549213409424
torch.float16,torch.float32,euler,torchdiffeq,512,0.024248796408216793,0.024309050291776657,0.03150998055934906
torch.float16,torch.float32,euler,torchdiffeq,1024,0.012181470369983977,0.012092567048966885,0.05749451741576195
torch.float16,torch.float32,euler,torchdiffeq,2048,0.00610717717448238,0.005971057340502739,0.08913333714008331
torch.float16,torch.float32,euler,torchdiffeq,4096,0.003063112943495762,0.003007609397172928,0.37834635376930237
torch.float16,torch.float32,euler,torchdiffeq,8192,0.0015091030353806998,0.001185310073196888,0.680382490158081
torch.float16,torch.float32,euler,torchmpnode,32,0.3538125437026887,0.3535967767238617,0.2340686023235321
torch.float16,torch.float32,euler,torchmpnode,64,0.18633000713780687,0.1859806329011917,0.11729204654693604
torch.float16,torch.float32,euler,torchmpnode,128,0.09526657264953373,0.09507796168327332,0.058580026030540466
torch.float16,torch.float32,euler,torchmpnode,256,0.048127735346483694,0.047715865075588226,0.029058758169412613
torch.float16,torch.float32,euler,torchmpnode,512,0.02425416750713893,0.023902127519249916,0.014546195976436138
torch.float16,torch.float32,euler,torchmpnode,1024,0.01207914701833251,0.011782954446971416,0.007152662146836519
torch.float16,torch.float32,euler,torchmpnode,2048,0.006223743144643241,0.005714519880712032,0.0036527570337057114
torch.float16,torch.float32,euler,torchmpnode,4096,0.0030850388406235335,0.0026847263798117638,0.0016200083773583174
torch.float16,torch.float32,euler,torchmpnode,8192,0.0014759011904292689,0.0011753583094105124,0.0008922030101530254
torch.float16,torch.float32,rk4,torchdiffeq,32,0.0003811600366237099,0.00017699137970339507,0.007745051756501198
torch.float16,torch.float32,rk4,torchdiffeq,64,0.00017958390857215312,9.723813855089247e-05,0.008400250226259232
torch.float16,torch.float32,rk4,torchdiffeq,128,0.0001738428268449275,0.00046006697812117636,0.025527657940983772
torch.float16,torch.float32,rk4,torchdiffeq,256,0.00018758966090127218,9.737635991768911e-05,0.03915791213512421
torch.float16,torch.float32,rk4,torchdiffeq,512,0.0001008211108500022,0.0006899277213960886,0.1633559614419937
torch.float16,torch.float32,rk4,torchdiffeq,1024,0.00031168693793257014,0.001751461299136281,0.16542229056358337
